Fixture,Size,Seed,Epsilon,Pivot,Repetition,Status,RelativeForwardError,PivotComparisons,RowSwaps,ColumnSwaps,EliminationMultipliers,MatrixUpdates,Divisions,OriginalMaxAbs,MaxObservedAbs,GrowthFactor,MinimumAbsolutePivot,TinyPivotCount,RelativeResidual,EncounteredNonFiniteValue,ElapsedMilliseconds
"wilkinson",4,42,,"none",1,Success,4.6524803727548624E-17,0,0,0,6,14,10,1,8,8,1,0,9.6541132576100566E-18,false,1.0488999999999999
"wilkinson",4,42,,"partial",1,Success,4.6524803727548624E-17,6,0,0,6,14,10,1,8,8,1,0,9.6541132576100566E-18,false,0.0998
"wilkinson",4,42,,"complete",1,Success,4.6524803727548624E-17,26,0,2,6,14,10,1,2,2,1,0,9.6541132576100566E-18,false,0.19919999999999999
"wilkinson",8,42,,"none",1,Success,5.7036197946186414E-16,0,0,0,28,140,36,1,128,128,1,0,9.2278277371441589E-17,false,0.0124
"wilkinson",8,42,,"partial",1,Success,5.7036197946186414E-16,28,0,0,28,140,36,1,128,128,1,0,9.2278277371441589E-17,false,0.017399999999999999
"wilkinson",8,42,,"complete",1,Success,1.1451368340435407E-16,196,0,6,28,140,36,1,2,2,1,0,1.1534784671430199E-17,false,0.018200000000000001
"wilkinson",12,42,,"none",1,Success,2.42022701080856E-15,0,0,0,66,506,78,1,2048,2048,1,0,4.0049763096907488E-16,false,0.037199999999999997
"wilkinson",12,42,,"partial",1,Success,2.42022701080856E-15,66,0,0,66,506,78,1,2048,2048,1,0,4.0049763096907488E-16,false,0.034099999999999998
"wilkinson",12,42,,"complete",1,Success,8.664255104429383E-17,638,0,10,66,506,78,1,2,2,1,0,8.1734210401852006E-18,false,0.050299999999999997
"wilkinson",16,42,,"none",1,Success,5.1231076737038381E-14,0,0,0,120,1240,136,1,32768,32768,1,0,3.6285723338638566E-15,false,0.078799999999999995
"wilkinson",16,42,,"partial",1,Success,5.1231076737038381E-14,120,0,0,120,1240,136,1,32768,32768,1,0,3.6285723338638566E-15,false,0.076999999999999999
"wilkinson",16,42,,"complete",1,Success,1.3858738409393214E-16,1480,0,14,120,1240,136,1,2,2,1,0,6.3215545886129907E-18,false,0.1074
"wilkinson",20,42,,"none",1,Success,6.1467650329520722E-13,0,0,0,190,2470,210,1,524288,524288,1,0,3.8407019250953792E-14,false,0.13730000000000001
"wilkinson",20,42,,"partial",1,Success,6.1467650329520722E-13,190,0,0,190,2470,210,1,524288,524288,1,0,3.8407019250953792E-14,false,0.1704
"wilkinson",20,42,,"complete",1,Success,1.2810056466936677E-16,2850,0,18,190,2470,210,1,2,2,1,0,1.0303693964038575E-17,false,0.216
"wilkinson",24,42,,"none",1,Success,4.8011427714579886E-12,0,0,0,276,4324,300,1,8388608,8388608,1,0,4.4113924041693135E-13,false,6.0118
"wilkinson",24,42,,"partial",1,Success,4.8011427714579886E-12,276,0,0,276,4324,300,1,8388608,8388608,1,0,4.4113924041693135E-13,false,0.099199999999999997
"wilkinson",24,42,,"complete",1,Success,1.5925743404412471E-16,4876,0,22,276,4324,300,1,2,2,1,0,8.69342662022961E-18,false,0.1333
"wilkinson",28,42,,"none",1,Success,2.218480594438224E-10,0,0,0,378,6930,406,1,134217728,134217728,1,0,1.0332736950083558E-11,false,0.1096
"wilkinson",28,42,,"partial",1,Success,2.218480594438224E-10,378,0,0,378,6930,406,1,134217728,134217728,1,0,1.0332736950083558E-11,false,0.11360000000000001
"wilkinson",28,42,,"complete",1,Success,1.7311368824330638E-16,7686,0,26,378,6930,406,1,2,2,1,0,9.3972928323773841E-18,false,0.1709
"wilkinson",32,42,,"none",1,Success,2.6936697468755401E-09,0,0,0,496,10416,528,1,2147483648,2147483648,1,0,1.376687112656942E-10,false,0.13519999999999999
"wilkinson",32,42,,"partial",1,Success,2.6936697468755401E-09,496,0,0,496,10416,528,1,2147483648,2147483648,1,0,1.376687112656942E-10,false,0.14199999999999999
"wilkinson",32,42,,"complete",1,Success,1.5894895784208314E-16,11408,0,30,496,10416,528,1,2,2,1,0,1.6555049761418923E-18,false,0.21390000000000001
"wilkinson",36,42,,"none",1,Success,2.1991922904167036E-09,0,0,0,630,14910,666,1,34359738368,34359738368,1,0,7.7776219217782383E-11,false,0.16900000000000001
"wilkinson",36,42,,"partial",1,Success,2.1991922904167036E-09,630,0,0,630,14910,666,1,34359738368,34359738368,1,0,7.7776219217782383E-11,false,0.1827
"wilkinson",36,42,,"complete",1,Success,2.028412277713016E-16,16170,0,34,630,14910,666,1,2,2,1,0,5.9168066449305161E-18,false,0.2681
"wilkinson",40,42,,"none",1,Success,3.554881828851491E-07,0,0,0,780,20540,820,1,549755813888,549755813888,1,0,1.7451354303713287E-08,false,0.55449999999999999
"wilkinson",40,42,,"partial",1,Success,3.554881828851491E-07,780,0,0,780,20540,820,1,549755813888,549755813888,1,0,1.7451354303713287E-08,false,0.20180000000000001
"wilkinson",40,42,,"complete",1,Success,1.6536856364640528E-16,22100,0,38,780,20540,820,1,2,2,1,0,2.6736255860930922E-18,false,0.3044
"hilbert",2,42,,"none",1,Success,5.6610488670036757E-16,0,0,0,1,1,3,1,1,1,0.083333333333333315,0,0,false,0.002
"hilbert",2,42,,"partial",1,Success,5.6610488670036757E-16,1,0,0,1,1,3,1,1,1,0.083333333333333315,0,0,false,0.0012999999999999999
"hilbert",2,42,,"complete",1,Success,5.6610488670036757E-16,3,0,0,1,1,3,1,1,1,0.083333333333333315,0,0,false,0.0012999999999999999
"hilbert",3,42,,"none",1,Success,1.0166879092781654E-14,0,0,0,3,5,6,1,1,1,0.0055555555555555219,0,6.0557619525008164E-17,false,0.0018
"hilbert",3,42,,"partial",1,Success,8.0161895293916461E-15,3,1,0,3,5,6,1,1,1,0.0055555555555555358,0,6.0557619525008251E-17,false,0.077100000000000002
"hilbert",3,42,,"complete",1,Success,8.8530569779114104E-15,11,1,1,3,5,6,1,1,1,0.0052083333333333148,0,0,false,0.0037000000000000002
"hilbert",4,42,,"none",1,Success,3.777567449652369E-13,0,0,0,6,14,10,1,1,1,0.00035714285714287183,0,5.3290705181997164E-17,false,0.0033999999999999998
"hilbert",4,42,,"partial",1,Success,3.861787750251888E-13,6,1,0,6,14,10,1,1,1,0.00035714285714289005,0,2.664535259099849E-17,false,0.0033
"hilbert",4,42,,"complete",1,Success,3.0218144121564821E-13,26,1,1,6,14,10,1,1,1,0.00035714285714290046,0,5.3290705181999254E-17,false,0.0043
"hilbert",5,42,,"none",1,Success,1.5530526852274787E-12,0,0,0,10,30,15,1,1,1,2.2675736961463855E-05,0,2.4311453093950032E-17,false,0.0044000000000000003
"hilbert",5,42,,"partial",1,Success,3.4932956380387922E-13,10,2,0,10,30,15,1,1,1,1.1337868480725639E-05,0,9.7245812375903803E-17,false,0.0050000000000000001
"hilbert",5,42,,"complete",1,Success,4.7929422251630152E-12,50,3,3,10,30,15,1,1,1,5.5803571428636337E-06,0,4.8622906187765151E-17,false,0.0083000000000000001
"hilbert",6,42,,"none",1,Success,2.5167844710517435E-10,0,0,0,15,55,21,1,1,1,1.4315490504753121E-06,0,4.5315225486172806E-17,false,0.0064999999999999997
"hilbert",6,42,,"partial",1,Success,3.1069070214635068E-10,15,4,0,15,55,21,1,1,1,5.726196201804619E-07,0,0,false,0.0080000000000000002
"hilbert",6,42,,"complete",1,Success,2.9850008031341485E-10,85,4,4,15,55,21,1,1,1,2.2675736958648893E-07,0,9.0630450969084029E-17,false,0.0112
"hilbert",7,42,,"none",1,Success,8.4251966248883533E-09,0,0,0,21,91,28,1,1,1,9.0097492349297753E-08,0,8.5637037148976077E-17,false,0.0095999999999999992
"hilbert",7,42,,"partial",1,Success,1.4206534958174258E-08,21,4,0,21,91,28,1,1,1,3.0032497465724301E-08,0,4.2818518380743658E-17,false,0.0111
"hilbert",7,42,,"complete",1,Success,9.2814646315606343E-09,133,4,4,21,91,28,1,1,1,9.9413128059977112E-09,0,8.5637037091483697E-17,false,0.0154
"hilbert",8,42,,"none",1,Success,2.5057255641807096E-07,0,0,0,28,140,36,1,1,1,5.6599706533741728E-09,0,4.0849194637779623E-17,false,0.0126
"hilbert",8,42,,"partial",1,Success,2.1542265550090797E-07,28,4,0,28,140,36,1,1,1,1.1679304759378192E-09,0,8.1698392062019059E-17,false,0.015100000000000001
"hilbert",8,42,,"complete",1,Success,1.9021810579596305E-07,196,4,4,28,140,36,1,1,1,2.3529734332209459E-10,0,4.0849197031391832E-17,false,0.020799999999999999
"hilbert",9,42,,"none",1,Success,8.6086779404016531E-06,0,0,0,36,204,45,1,1,1,3.5513671341590448E-10,0,7.848902904131245E-17,false,0.017100000000000001
"hilbert",9,42,,"partial",1,Success,9.9875752553235882E-06,36,6,0,36,204,45,1,1,1,5.4357641628102417E-11,0,7.8488936963285739E-17,false,0.025000000000000001
"hilbert",9,42,,"complete",1,Success,7.5968052137356651E-06,276,5,5,36,204,45,1,1,1,1.0804500005588113E-11,0,3.9244548463517525E-17,false,0.0281
"hilbert",10,42,,"none",1,Success,0.00022377310679871828,0,0,0,45,285,55,1,1,1,2.2267700021640965E-11,0,3.7896933425792454E-17,false,0.021999999999999999
"hilbert",10,42,,"partial",1,Success,0.00016307255259380725,45,6,0,45,285,55,1,1,1,2.575093416838732E-12,0,3.7899098003854063E-17,false,0.029399999999999999
"hilbert",10,42,,"complete",1,Success,0.0001861895013054523,375,7,7,45,285,55,1,1,1,2.8733007314601743E-13,0,3.7898279177215147E-17,false,0.037400000000000003
"hilbert",11,42,,"none",1,Success,0.0046409471707873681,0,0,0,55,385,66,1,1,1,1.3994796723597306E-12,0,7.3171837433226551E-17,false,0.028299999999999999
"hilbert",11,42,,"partial",1,Success,0.0046086387523223415,55,8,0,55,385,66,1,1,1,1.3121336524311118E-13,0,7.317430164982359E-17,false,0.034000000000000002
"hilbert",11,42,,"complete",1,Success,0.0073898320994914123,495,8,8,55,385,66,1,1,1,1.5942318992412949E-14,0,3.6481366608760194E-17,false,0.0482
"hilbert",12,42,,"none",1,Success,0.09545766814456276,0,0,0,66,506,78,1,1,1,9.3767127416730005E-14,0,6.5783344214111321E-17,false,0.0378
"hilbert",12,42,,"partial",1,Success,0.16617999618966539,66,9,0,66,506,78,1,1,1,5.3053943967741277E-15,0,1.2422571411916564E-16,false,0.042500000000000003
"hilbert",12,42,,"complete",1,Success,0.034683682905730664,638,9,9,66,506,78,1,1,1,3.9799913293558091E-16,1,6.89735096980599E-17,false,0.060400000000000002
"hilbert",13,42,,"none",1,Success,3.0654677556167682,0,0,0,78,650,91,1,1,1,1.2257086305240321E-14,0,3.3714817044828853E-17,false,0.0436
"hilbert",13,42,,"partial",1,Success,2.0062569148364013,78,8,0,78,650,91,1,1,1,6.7412596833777433E-16,1,4.5646391741890904E-17,false,0.0504
"hilbert",13,42,,"complete",1,Success,3.5895184058939869,806,9,9,78,650,91,1,1,1,2.1146441713251574E-17,2,2.9809734598860805E-17,false,0.072499999999999995
"hilbert",14,42,,"none",1,Success,4.5622233933687912,0,0,0,91,819,105,1,1,1,2.2544475516638897E-15,1,1.1859812097849092E-17,false,0.056500000000000002
"hilbert",14,42,,"partial",1,Success,39.291910294956367,91,12,0,91,819,105,1,1,1,2.0165999836174515E-17,2,8.829195764293498E-18,false,0.062100000000000002
"hilbert",14,42,,"complete",1,Success,60.777307610453015,1001,11,11,91,819,105,1,1,1,2.132111495452529E-19,2,5.3164721523793322E-18,false,0.088300000000000003
"hilbert",15,42,,"none",1,Success,3.3720791399002672,0,0,0,105,1015,120,1,1,1,2.2544475516638897E-15,1,3.1370613060198774E-17,false,0.054600000000000003
"hilbert",15,42,,"partial",1,Success,2.9173533433446432,105,10,0,105,1015,120,1,1,1,3.1263870249206497E-16,3,1.5699940758739367E-17,false,0.063899999999999998
"hilbert",15,42,,"complete",1,Success,5.1668019715418518,1225,12,12,105,1015,120,1,1,1,1.1479658426087316E-17,3,2.9680614662824514E-17,false,0.093399999999999997
"hilbert",16,42,,"none",1,Success,3.9296529203273058,0,0,0,120,1240,136,1,1,1,4.0301643927742534E-16,2,1.8465438369580555E-17,false,0.063200000000000006
"hilbert",16,42,,"partial",1,Success,2.2005389899372045,120,11,0,120,1240,136,1,1,1,9.2368206693694853E-17,4,2.0152119611048937E-17,false,0.070599999999999996
"hilbert",16,42,,"complete",1,Success,4.5180198137387686,1480,14,14,120,1240,136,1,1,1,6.1895289095108261E-18,4,9.8025148090402362E-18,false,0.098799999999999999
